judul,tanggal,link
Awas Hoaks: Mengunyah Cengkeh atau Kayu Manis dapat Meningkatkan Kadar Oksigen yang Sedang Menurun,06 Sep 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-mengunyah-cengkeh-atau-kayu-manis-dapat-meningkatkan-kadar-oksigen-yang-sedang-menurun
[SALAH] Pesan Berantai Tim Vaksinasi GSP Meminta Data Pribadi,06 Sep 2021,https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-tim-vaksinasi-gsp-meminta-data-pribadi
[SALAH] Mencuci Hidung Dengan Garam Menghilangkan Virus Corona,06 Sep 2021,https://covid19.go.id/p/hoax-buster/salah-mencuci-hidung-dengan-garam-menghilangkan-virus-corona
Awas Hoaks: Video Siswa Lumpuh Usai Divaksinasi COVID-19,04 Sep 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-video-siswa-lumpuh-usai-divaksinasi-covid-19
[SALAH] Muammar Gaddafi Prediksi Covid-19,04 Sep 2021,https://covid19.go.id/p/hoax-buster/salah-muammar-gaddafi-prediksi-covid-19
[SALAH] Obat Covid-19 Molnulpiravir Mulai Beredar September Mendatang,03 Sep 2021,https://covid19.go.id/p/hoax-buster/salah-obat-covid-19-molnulpiravir-mulai-beredar-september-mendatang
[SALAH] “Madagaskar keluar dari WHO”,31 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-madagaskar-keluar-dari-who
"[SALAH] Campuran Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Mengobati Covid-19",30 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-campuran-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-mengobati-covid-19
Awas Hoaks: Varian Delta COVID-19 Berasal dari Radiasi Jaringan 5G,28 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-varian-delta-covid-19-berasal-dari-radiasi-jaringan-5g
[SALAH] Video Kota Prabumulih tanpa Korona,27 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-video-kota-prabumulih-tanpa-korona
"[SALAH] Vaksin Corona Mengandung Babi, Dapat Mengubah DNA, dan Membuat Manusia Jadi Zombie",27 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-corona-mengandung-babi-dapat-mengubah-dna-dan-membuat-manusia-jadi-zombie
[SALAH] Penyelenggaraan Hajatan dan Hiburan sudah Diperbolehkan oleh Bupati Sukoharjo,27 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-penyelenggaraan-hajatan-dan-hiburan-sudah-diperbolehkan-oleh-bupati-sukoharjo
[SALAH] Vaksin di Gedung Gradika Bakti ditujukan untuk 18-59 Tahun,24 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-di-gedung-gradika-bakti-ditujukan-untuk-18-59-tahun
[SALAH] Tautan Pengecekan Penerima BSU dari BPJS Ketenagakerjaan,23 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-tautan-pengecekan-penerima-bsu-dari-bpjs-ketenagakerjaan
[SALAH] Pesan Berantai dari Ketua Satgas Covid-19 Dwiyono terkait Metode Menghirup Uap Air Panas untuk Membunuh Virus Corona,23 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-pesan-berantai-dari-ketua-satgas-covid-19-dwiyono-terkait-metode-menghirup-uap-air-panas-untuk-membunuh-virus-corona
Awas Hoaks: WHO Temukan Vaksin COVID-19 Palsu dan Beredar di Indonesia,23 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-who-temukan-vaksin-covid-19-palsu-dan-beredar-di-indonesia
[SALAH] Video “Biang covid bill gates kena timpuk dari orang yg geram padanya”,22 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-video-biang-covid-bill-gates-kena-timpuk-dari-orang-yg-geram-padanya
[SALAH] Kuota Gratis 150 GB dari Kemkominfo dalam Rangka Memperingati HUT RI ke-76,21 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-kuota-gratis-150-gb-dari-kemkominfo-dalam-rangka-memperingati-hut-ri-ke-76
[SALAH] Hewan Mati Bergelimpangan karena Efek Radiasi 5G,21 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-hewan-mati-bergelimpangan-karena-efek-radiasi-5g
[SALAH] Oseltamivir Obat Covid-19 Berbahaya dan Mematikan,20 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-oseltamivir-obat-covid-19-berbahaya-dan-mematikan
[SALAH] Informasi Vaksin Dosis 1 dan 2 16 Agustus 2021 di RSAL dr. Ramelan Surabaya,20 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-informasi-vaksin-dosis-1-dan-2-16-agustus-2021-di-rsal-dr-ramelan-surabaya
[SALAH] Sertifikat Vaksin Covid-19 Bukan Syarat Administrasi,20 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-sertifikat-vaksin-covid-19-bukan-syarat-administrasi
[SALAH] “PPKM DILANJUTKAN SAMPAI HARI KIAMAT”,19 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-ppkm-dilanjutkan-sampai-hari-kiamat
[SALAH] Pernyataan Dr. Ir. Hj. Sri Nurdiati “Panik karena masker sampai lupa Pentingnya Antibodi”,19 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-pernyataan-dr-ir-hj-sri-nurdiati-panik-karena-masker-sampai-lupa-pentingnya-antibodi
Awas Hoaks Setelah Divaksin Bisa Sebabkan Hasil Tes COVID-19 Positif,19 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-setelah-divaksin-bisa-sebabkan-hasil-tes-covid-19-positif
[SALAH] Masyarakat Suku Baduy Tidak Pernah Divaksin dalam Ratusan Tahun,19 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-masyarakat-suku-baduy-tidak-pernah-divaksin-dalam-ratusan-tahun
Awas Hoaks: Tidak Boleh Konsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin COVID-19,18 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-tidak-boleh-konsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19
[SALAH] Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya,17 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-grab-berikan-bantuan-sembako-senilai-rp80-ribu-untuk-warga-surabaya
Awas Hoaks: Bantuan Subsidi Upah Kemnaker Meminta Data Calon Penerima,16 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima
[SALAH] Tidak Boleh Mengonsumsi Makanan dan Minuman yang Mengandung Alkohol dan Soda setelah Vaksin Covid-19,15 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-tidak-boleh-mengonsumsi-makanan-dan-minuman-yang-mengandung-alkohol-dan-soda-setelah-vaksin-covid-19
Awas Hoaks: Penerbangan di AS Ditutup karena Kru dan Pilot Menolak Vaksin,15 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-penerbangan-di-ditutup-karena-kru-dan-pilot-menolak-vaksin
[SALAH] Hasil Perhitungan Data Orang yang Sudah Divaksinasi Lebih Banyak Terpapar Varian Delta dan Peluang Kematian Lebih Tinggi,14 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-hasil-perhitungan-data-orang-yang-sudah-divaksinasi-lebih-banyak-terpapar-varian-delta-dan-peluang-kematian-lebih-tinggi
[SALAH] Bantuan Subsidi Upah KEMNAKER Meminta Data Calon Penerima,14 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-bantuan-subsidi-upah-kemnaker-meminta-data-calon-penerima
